W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,event
win,Charles Oliveira  Efrain Escudero,0  0,35  13,2  0,1  0,Lightweight,SUB  Rear Naked Choke,3,2:25,UFC Fight Night: Marquardt vs Palhares
win,Jim Miller  Gleison Tibau,0  0,29  23,0  4,2  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Marquardt vs Palhares
win,Cole Miller  Ross Pearson,1  0,24  26,1  0,1  0,Lightweight,SUB  Rear Naked Choke,2,1:49,UFC Fight Night: Marquardt vs Palhares
win,Yves Edwards  John Gunderson,0  0,54  15,1  0,1  2,Lightweight,U-DEC,3,5:00,UFC Fight Night: Marquardt vs Palhares
win,Kyle Kingsbury  Jared Hamman,0  0,79  88,9  0,0  0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Marquardt vs Palhares
win,David Branch  Tomasz Drwal,0  0,15  10,3  0,0  0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Marquardt vs Palhares
win,Rich Attonito  Rafael Natal,1  0,25  28,0  2,0  0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Marquardt vs Palhares
win,TJ Waldburger  David Mitchell,0  0,37  13,6  2,7  6,Welterweight,U-DEC,3,5:00,UFC Fight Night: Marquardt vs Palhares
win,Brian Foster  Forrest Petz,1  0,17  1,0  0,0  0,Welterweight,KO/TKO  Punches,1,1:07,UFC Fight Night: Marquardt vs Palhares
win,Frankie Edgar  BJ Penn,0  0,94  36,3  2,0  0,Lightweight,U-DEC,5,5:00,UFC 118: Edgar vs Penn 2
win,Randy Couture  James Toney,0  0,8  0,1  0,2  0,Heavyweight,SUB  Arm Triangle,1,3:19,UFC 118: Edgar vs Penn 2
win,Demian Maia  Mario Miranda,0  0,30  14,5  0,1  0,Middleweight,U-DEC,3,5:00,UFC 118: Edgar vs Penn 2
win,Gray Maynard  Kenny Florian,0  0,15  14,5  0,0  0,Lightweight,U-DEC,3,5:00,UFC 118: Edgar vs Penn 2
win,Nate Diaz  Marcus Davis,0  1,94  52,1  1,1  0,Welterweight,SUB  Guillotine Choke,3,4:02,UFC 118: Edgar vs Penn 2
win,Joe Lauzon  Gabe Ruediger,0  0,19  1,2  0,1  0,Lightweight,SUB  Armbar,1,2:01,UFC 118: Edgar vs Penn 2
win,Nik Lentz  Andre Winner,0  0,23  20,7  0,1  0,Lightweight,U-DEC,3,5:00,UFC 118: Edgar vs Penn 2
win,Dan Miller  John Salter,0  0,23  21,0  2,2  0,Middleweight,SUB  Guillotine Choke,2,1:53,UFC 118: Edgar vs Penn 2
win,Greg Soto  Nick Osipczak,0  0,70  29,3  0,1  1,Welterweight,U-DEC,3,5:00,UFC 118: Edgar vs Penn 2
win,Mike Pierce  Amilcar Alves,0  0,31  4,4  0,2  0,Welterweight,SUB  Armbar,3,3:11,UFC 118: Edgar vs Penn 2
win,Anderson Silva  Chael Sonnen,0  0,29  89,1  3,3  1,Middleweight,SUB  Triangle Armbar,5,3:10,UFC 117: Silva vs Sonnen
win,Jon Fitch  Thiago Alves,0  0,29  22,9  0,0  0,Welterweight,U-DEC,3,5:00,UFC 117: Silva vs Sonnen
win,Clay Guida  Rafael Dos Anjos,0  0,19  17,2  1,0  0,Lightweight,SUB  Injury,3,1:51,UFC 117: Silva vs Sonnen
win,Matt Hughes  Ricardo Almeida,1  0,2  10,0  0,1  0,Welterweight,SUB  Schultz Front Headlock,1,3:15,UFC 117: Silva vs Sonnen
win,Junior Dos Santos  Roy Nelson,1  0,130  40,1  0,0  0,Heavyweight,U-DEC,3,5:00,UFC 117: Silva vs Sonnen
win,Rick Story  Dustin Hazelett,1  0,75  7,3  0,0  2,Welterweight,KO/TKO  Punches,2,1:15,UFC 117: Silva vs Sonnen
win,Phil Davis  Rodney Wallace,0  0,59  2,3  0,0  0,Light Heavyweight,U-DEC,3,5:00,UFC 117: Silva vs Sonnen
win,Johny Hendricks  Charlie Brenneman,2  0,28  9,0  2,0  0,Welterweight,KO/TKO  Punches,2,0:40,UFC 117: Silva vs Sonnen
win,Tim Boetsch  Todd Brown,0  0,60  28,3  0,1  0,Light Heavyweight,U-DEC,3,5:00,UFC 117: Silva vs Sonnen
win,Stefan Struve  Christian Morecraft,1  0,11  36,0  1,2  1,Heavyweight,KO/TKO  Punch,2,0:22,UFC 117: Silva vs Sonnen
win,Dennis Hallman  Ben Saunders,0  0,28  30,3  0,0  1,Welterweight,U-DEC,3,5:00,UFC 117: Silva vs Sonnen
win,Jon Jones  Vladimir Matyushenko,0  0,15  0,1  0,0  0,Light Heavyweight,KO/TKO  Elbows,1,1:52,UFC Live: Jones vs Matyushenko
win,Yushin Okami  Mark Munoz,1  1,22  16,1  1,0  0,Middleweight,S-DEC,3,5:00,UFC Live: Jones vs Matyushenko
win,Jake Ellenberger  John Howard,0  0,38  17,5  0,0  1,Welterweight,KO/TKO,3,2:21,UFC Live: Jones vs Matyushenko
win,Takanori Gomi  Tyson Griffin,1  0,5  3,0  0,0  0,Lightweight,KO/TKO  Punch,1,1:04,UFC Live: Jones vs Matyushenko
win,Jacob Volkmann  Paul Kelly,0  0,32  24,6  0,2  2,Lightweight,U-DEC,3,5:00,UFC Live: Jones vs Matyushenko
win,Matthew Riddle  DaMarques Johnson,0  0,42  9,3  0,0  0,Welterweight,KO/TKO  Punches,2,4:29,UFC Live: Jones vs Matyushenko
win,Igor Pokrajac  James Irvin,0  0,18  11,2  0,1  0,Light Heavyweight,SUB  Rear Naked Choke,1,2:29,UFC Live: Jones vs Matyushenko
win,Brian Stann  Mike Massenzio,0  0,43  5,0  5,2  2,Middleweight,SUB  Triangle Choke,3,3:10,UFC Live: Jones vs Matyushenko
win,Charles Oliveira  Darren Elkins,0  0,3  0,0  1,2  0,Lightweight,SUB  Triangle Armbar,1,0:41,UFC Live: Jones vs Matyushenko
win,Rob Kimmons  Steve Steinbeiss,0  0,38  85,4  0,2  0,Middleweight,U-DEC,3,5:00,UFC Live: Jones vs Matyushenko
win,Brock Lesnar  Shane Carwin,0  1,8  40,1  0,1  0,Heavyweight,SUB  Arm Triangle,2,2:19,UFC 116: Lesnar vs Carwin
win,Chris Leben  Yoshihiro Akiyama,0  0,46  27,0  5,4  1,Middleweight,SUB  Triangle Choke,3,4:40,UFC 116: Lesnar vs Carwin
win,Chris Lytle  Matt Brown,0  1,19  25,0  1,4  1,Welterweight,SUB  Armbar,2,2:02,UFC 116: Lesnar vs Carwin
win,Stephan Bonnar  Krzysztof Soszynski,1  0,48  32,2  0,0  0,Light Heavyweight,KO/TKO  Punches,2,3:08,UFC 116: Lesnar vs Carwin
win,George Sotiropoulos  Kurt Pellegrino,1  1,48  39,1  3,0  0,Lightweight,U-DEC,3,5:00,UFC 116: Lesnar vs Carwin
win,Brendan Schaub  Chris Tuchscherer,1  0,10  1,0  0,0  0,Heavyweight,KO/TKO  Punch,1,1:07,UFC 116: Lesnar vs Carwin
win,Ricardo Romero  Seth Petruzelli,0  1,19  30,1  0,2  2,Light Heavyweight,SUB  Armbar,2,3:05,UFC 116: Lesnar vs Carwin
win,Kendall Grove  Goran Reljic,0  0,28  14,1  3,1  1,Middleweight,S-DEC,3,5:00,UFC 116: Lesnar vs Carwin
win,Gerald Harris  David Branch,0  0,10  20,5  0,0  0,Middleweight,KO/TKO  Slam,3,2:35,UFC 116: Lesnar vs Carwin
win,Daniel Roberts  Forrest Petz,0  0,5  21,6  1,2  0,Welterweight,S-DEC,3,5:00,UFC 116: Lesnar vs Carwin
win,Jon Madsen  Karlos Vemola,0  0,37  16,3  0,0  1,Heavyweight,U-DEC,3,5:00,UFC 116: Lesnar vs Carwin
win,Court McGee  Kris McCray,0  0,22  19,5  0,1  0,Middleweight,SUB  Rear Naked Choke,2,3:41,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale
win,Matt Hamill  Keith Jardine,0  0,77  65,2  0,0  0,Light Heavyweight,M-DEC,3,5:00,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale
win,Chris Leben  Aaron Simpson,0  0,42  43,0  2,0  1,Middleweight,KO/TKO  Punches,2,4:17,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale
win,Dennis Siver  Spencer Fisher,0  0,77  52,0  0,0  0,Lightweight,U-DEC,3,5:00,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale
win,Rich Attonito  Jamie Yager,0  0,24  29,1  0,0  0,Middleweight,KO/TKO  Punches,2,4:25,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale
win,John Gunderson  Mark Holst,0  0,31  2,4  1,0  3,Lightweight,U-DEC,3,5:00,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale
win,Brad Tavares  Seth Baczynski,0  0,18  22,3  0,0  3,Middleweight,U-DEC,3,5:00,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale
win,Kyle Noke  Josh Bryant,1  0,50  9,0  0,0  0,Middleweight,KO/TKO  Punches,2,3:12,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale
win,Chris Camozzi  James Hammortree,0  0,62  29,0  2,0  1,Middleweight,U-DEC,3,5:00,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale
win,Travis Browne  James McSweeney,1  0,19  6,0  0,1  0,Heavyweight,KO/TKO  Punches,1,4:32,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale
win,Rich Franklin  Chuck Liddell,1  0,24  17,0  1,0  0,Light Heavyweight,KO/TKO  Punch,1,4:55,UFC 115: Liddell vs Franklin
win,Mirko Filipovic  Pat Barry,1  2,42  25,0  0,2  0,Heavyweight,SUB  Rear Naked Choke,3,4:30,UFC 115: Liddell vs Franklin
win,Martin Kampmann  Paulo Thiago,0  0,24  13,1  1,3  1,Welterweight,U-DEC,3,5:00,UFC 115: Liddell vs Franklin
win,Ben Rothwell  Gilbert Yvel,0  0,44  33,5  0,2  2,Heavyweight,U-DEC,3,5:00,UFC 115: Liddell vs Franklin
win,Carlos Condit  Rory MacDonald,0  0,72  29,0  3,1  0,Welterweight,KO/TKO  Punches,3,4:53,UFC 115: Liddell vs Franklin
win,Evan Dunham  Tyson Griffin,0  0,28  26,3  0,1  1,Lightweight,S-DEC,3,5:00,UFC 115: Liddell vs Franklin
win,Matt Wiman  Mac Danzig,0  0,4  4,0  1,2  0,Lightweight,SUB  Guillotine Choke,1,1:45,UFC 115: Liddell vs Franklin
win,Mario Miranda  David Loiseau,0  0,42  2,3  0,0  0,Middleweight,KO/TKO  Elbows,2,4:07,UFC 115: Liddell vs Franklin
win,James Wilks  Peter Sobotta,0  0,38  15,1  1,1  2,Welterweight,U-DEC,3,5:00,UFC 115: Liddell vs Franklin
win,Claude Patrick  Ricardo Funch,0  0,13  5,1  0,2  0,Welterweight,SUB  Guillotine Choke,2,1:48,UFC 115: Liddell vs Franklin
win,Mike Pyle  Jesse Lennox,1  0,49  37,0  1,3  0,Welterweight,SUB  Triangle Choke,3,4:44,UFC 115: Liddell vs Franklin
win,Rashad Evans  Quinton Jackson,0  1,29  17,3  0,0  0,Light Heavyweight,U-DEC,3,5:00,UFC 114: Rampage vs Evans
win,Michael Bisping  Dan Miller,0  0,76  50,0  1,0  0,Middleweight,U-DEC,3,5:00,UFC 114: Rampage vs Evans
win,Mike Russow  Todd Duffee,1  0,14  51,0  0,0  0,Heavyweight,KO/TKO  Punch,3,2:35,UFC 114: Rampage vs Evans
win,Rogerio Nogueira  Jason Brilz,0  0,23  18,1  3,1  3,Light Heavyweight,S-DEC,3,5:00,UFC 114: Rampage vs Evans
win,John Hathaway  Diego Sanchez,1  0,84  24,0  1,0  0,Welterweight,U-DEC,3,5:00,UFC 114: Rampage vs Evans
win,Dong Hyun Kim  Amir Sadollah,0  0,30  10,6  0,0  0,Welterweight,U-DEC,3,5:00,UFC 114: Rampage vs Evans
win,Efrain Escudero  Dan Lauzon,1  0,64  17,0  0,0  0,Lightweight,U-DEC,3,5:00,UFC 114: Rampage vs Evans
win,Melvin Guillard  Waylon Lowe,1  0,14  1,0  1,0  0,Lightweight,KO/TKO  Knee,1,3:28,UFC 114: Rampage vs Evans
win,Cyrille Diabate  Luiz Cane,1  1,17  4,0  0,0  0,Light Heavyweight,KO/TKO  Punches,1,2:13,UFC 114: Rampage vs Evans
win,Aaron Riley  Joe Brammer,0  0,46  37,3  1,0  0,Lightweight,U-DEC,3,5:00,UFC 114: Rampage vs Evans
win,Ryan Jensen  Jesse Forbes,0  1,3  3,0  1,1  1,Middleweight,SUB  Guillotine Choke,1,1:06,UFC 114: Rampage vs Evans
win,Mauricio Rua  Lyoto Machida,1  0,17  9,0  2,0  0,Light Heavyweight,KO/TKO  Punches,1,3:35,UFC 113: Machida vs Shogun 2
win,Josh Koscheck  Paul Daley,0  0,19  11,4  0,1  0,Welterweight,U-DEC,3,5:00,UFC 113: Machida vs Shogun 2
win,Jeremy Stephens  Sam Stout,1  1,55  70,3  0,0  1,Lightweight,S-DEC,3,5:00,UFC 113: Machida vs Shogun 2
win,Matt Mitrione  Kevin Ferguson,0  0,44  5,0  2,4  0,Heavyweight,KO/TKO  Punches,2,4:24,UFC 113: Machida vs Shogun 2
win,Alan Belcher  Patrick Cote,0  0,27  22,1  2,1  1,Middleweight,SUB  Rear Naked Choke,2,3:25,UFC 113: Machida vs Shogun 2
win,Joe Doerksen  Tom Lawlor,0  1,44  42,0  0,1  0,Middleweight,SUB  Rear Naked Choke,2,2:10,UFC 113: Machida vs Shogun 2
win,Marcus Davis  Jonathan Goulet,2  0,11  5,0  4,1  0,Welterweight,KO/TKO  Punches,2,1:23,UFC 113: Machida vs Shogun 2
win,Johny Hendricks  TJ Grant,0  0,53  67,8  0,0  0,Welterweight,M-DEC,3,5:00,UFC 113: Machida vs Shogun 2
win,Joey Beltran  Tim Hague,0  0,97  60,0  2,0  0,Heavyweight,U-DEC,3,5:00,UFC 113: Machida vs Shogun 2
win,Mike Guymon  Yoshiyuki Yoshida,0  0,59  7,3  1,2  2,Welterweight,U-DEC,3,5:00,UFC 113: Machida vs Shogun 2
win,John Salter  Jason MacDonald,0  0,3  5,1  0,0  0,Middleweight,KO/TKO,1,2:42,UFC 113: Machida vs Shogun 2
win,Anderson Silva  Demian Maia,1  0,61  10,0  0,0  0,Middleweight,U-DEC,5,5:00,UFC 112: Invincible
win,Frankie Edgar  BJ Penn,0  0,61  71,1  0,0  0,Lightweight,U-DEC,5,5:00,UFC 112: Invincible
win,Matt Hughes  Renzo Gracie,2  0,70  34,0  0,0  0,Welterweight,KO/TKO  Punches,3,4:40,UFC 112: Invincible
win,Rafael Dos Anjos  Terry Etim,0  0,25  7,2  0,1  1,Lightweight,SUB  Armbar,2,4:30,UFC 112: Invincible
win,Mark Munoz  Kendall Grove,0  1,25  9,1  0,0  3,Middleweight,KO/TKO  Punches,2,2:50,UFC 112: Invincible
win,Phil Davis  Alexander Gustafsson,0  0,14  0,1  0,1  0,Light Heavyweight,SUB  Anaconda Choke,1,4:55,UFC 112: Invincible
win,Rick Story  Nick Osipczak,0  0,31  28,3  2,1  1,Welterweight,S-DEC,3,5:00,UFC 112: Invincible
win,DaMarques Johnson  Brad Blackburn,1  0,34  59,0  4,1  2,Welterweight,KO/TKO  Kick,3,2:08,UFC 112: Invincible
win,Paul Kelly  Matt Veach,0  0,47  4,0  1,3  2,Lightweight,SUB  Guillotine Choke,2,3:41,UFC 112: Invincible
win,Jon Madsen  Mostapha Al-Turk,0  0,32  20,1  0,0  0,Heavyweight,U-DEC,3,5:00,UFC 112: Invincible
win,Kenny Florian  Takanori Gomi,0  0,51  20,1  0,1  0,Lightweight,SUB  Rear Naked Choke,3,2:52,UFC Fight Night: Florian vs Gomi
win,Roy Nelson  Stefan Struve,1  0,9  2,0  0,0  0,Heavyweight,KO/TKO  Punch,1,0:39,UFC Fight Night: Florian vs Gomi
win,Jorge Rivera  Nate Quarry,3  0,29  19,0  0,0  0,Middleweight,KO/TKO  Punches,2,0:29,UFC Fight Night: Florian vs Gomi
win,Ross Pearson  Dennis Siver,0  0,54  39,1  2,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Florian vs Gomi
win,Andre Winner  Rafaello Oliveira,0  0,61  52,0  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Florian vs Gomi
win,Jacob Volkmann  Ronys Torres,0  0,24  20,5  3,0  0,Lightweight,S-DEC,3,5:00,UFC Fight Night: Florian vs Gomi
win,Nik Lentz  Rob Emerson,0  1,46  24,4  0,1  1,Lightweight,U-DEC,3,5:00,UFC Fight Night: Florian vs Gomi
win,Gleison Tibau  Caol Uno,1  0,22  6,1  0,0  0,Lightweight,KO/TKO  Punches,1,4:13,UFC Fight Night: Florian vs Gomi
win,Yushin Okami  Lucio Linhares,1  0,50  8,0  0,0  0,Middleweight,KO/TKO,2,2:47,UFC Fight Night: Florian vs Gomi
win,Gerald Harris  Mario Miranda,2  1,17  16,0  0,0  0,Middleweight,KO/TKO  Punches,1,4:49,UFC Fight Night: Florian vs Gomi
win,Charlie Brenneman  Jason High,0  0,33  12,6  0,0  3,Welterweight,U-DEC,3,5:00,UFC Fight Night: Florian vs Gomi
win,Georges St-Pierre  Dan Hardy,0  0,59  4,11  0,6  0,Welterweight,U-DEC,5,5:00,UFC 111: St-Pierre vs Hardy
win,Shane Carwin  Frank Mir,1  0,49  3,0  0,0  0,Heavyweight,KO/TKO  Punches,1,3:48,UFC 111: St-Pierre vs Hardy
win,Kurt Pellegrino  Fabricio Camoes,0  0,16  8,1  1,2  2,Lightweight,SUB  Rear Naked Choke,2,4:20,UFC 111: St-Pierre vs Hardy
win,Jon Fitch  Ben Saunders,0  0,72  17,2  0,0  0,Welterweight,U-DEC,3,5:00,UFC 111: St-Pierre vs Hardy
win,Jim Miller  Mark Bocek,0  0,23  17,1  4,3  1,Lightweight,U-DEC,3,5:00,UFC 111: St-Pierre vs Hardy
win,Nate Diaz  Rory Markham,1  0,34  3,0  0,0  0,Welterweight,KO/TKO  Punches,1,2:47,UFC 111: St-Pierre vs Hardy
win,Ricardo Almeida  Matt Brown,0  0,15  6,5  0,1  0,Welterweight,SUB  Rear Naked Choke,2,3:30,UFC 111: St-Pierre vs Hardy
win,Rousimar Palhares  Tomasz Drwal,0  0,0  0,0  0,1  0,Middleweight,SUB  Heel Hook,1,0:45,UFC 111: St-Pierre vs Hardy
win,Jared Hamman  Rodney Wallace,1  0,60  34,2  11,0  1,Light Heavyweight,U-DEC,3,5:00,UFC 111: St-Pierre vs Hardy
win,Matthew Riddle  Greg Soto,0  0,47  21,4  0,0  0,Welterweight,DQ,3,1:30,UFC 111: St-Pierre vs Hardy
win,Jon Jones  Brandon Vera,0  0,11  5,2  0,0  0,Light Heavyweight,KO/TKO  Elbow,1,3:19,UFC Live: Vera vs Jones
win,Junior Dos Santos  Gabriel Gonzaga,1  0,20  9,0  1,0  0,Heavyweight,KO/TKO  Punches,1,3:53,UFC Live: Vera vs Jones
win,Cheick Kongo  Paul Buentello,0  0,53  3,9  0,0  0,Heavyweight,KO/TKO  Elbows,3,1:16,UFC Live: Vera vs Jones
win,Alessio Sakara  James Irvin,1  0,13  6,0  0,0  0,Middleweight,KO/TKO,1,3:01,UFC Live: Vera vs Jones
win,Clay Guida  Shannon Gugerty,0  0,14  1,2  0,1  3,Lightweight,SUB  Arm Triangle,2,3:40,UFC Live: Vera vs Jones
win,Vladimir Matyushenko  Eliot Marshall,0  0,28  19,2  0,0  0,Light Heavyweight,S-DEC,3,5:00,UFC Live: Vera vs Jones
win,Darren Elkins  Duane Ludwig,0  0,0  1,1  0,0  0,Lightweight,KO/TKO,1,0:44,UFC Live: Vera vs Jones
win,John Howard  Daniel Roberts,0  0,6  7,1  1,0  1,Welterweight,KO/TKO  Punch,1,2:01,UFC Live: Vera vs Jones
win,Brendan Schaub  Chase Gormley,1  0,25  2,0  0,0  0,Heavyweight,KO/TKO  Punches,1,0:47,UFC Live: Vera vs Jones
win,Mike Pierce  Julio Paulino,0  0,39  17,6  0,0  0,Welterweight,U-DEC,3,5:00,UFC Live: Vera vs Jones
win,Jason Brilz  Eric Schafer,0  0,70  27,3  2,1  1,Light Heavyweight,U-DEC,3,5:00,UFC Live: Vera vs Jones
win,Cain Velasquez  Antonio Rodrigo Nogueira,1  0,23  3,0  0,0  0,Heavyweight,KO/TKO  Punch,1,2:20,UFC 110: Nogueira vs Velasquez
win,Wanderlei Silva  Michael Bisping,1  0,42  32,1  5,1  0,Middleweight,U-DEC,3,5:00,UFC 110: Nogueira vs Velasquez
win,George Sotiropoulos  Joe Stevenson,0  0,20  7,2  3,3  2,Lightweight,U-DEC,3,5:00,UFC 110: Nogueira vs Velasquez
win,Ryan Bader  Keith Jardine,1  0,29  15,3  0,0  0,Light Heavyweight,KO/TKO  Punch,3,2:10,UFC 110: Nogueira vs Velasquez
win,Mirko Filipovic  Anthony Perosh,0  0,29  9,0  0,1  0,Heavyweight,KO/TKO,2,5:00,UFC 110: Nogueira vs Velasquez
win,Krzysztof Soszynski  Stephan Bonnar,0  0,48  36,0  2,0  0,Light Heavyweight,KO/TKO,3,1:04,UFC 110: Nogueira vs Velasquez
win,Chris Lytle  Brian Foster,0  0,2  5,0  1,1  0,Welterweight,SUB  Kneebar,1,1:41,UFC 110: Nogueira vs Velasquez
win,CB Dollaway  Goran Reljic,0  0,25  20,5  1,1  3,Middleweight,U-DEC,3,5:00,UFC 110: Nogueira vs Velasquez
win,James Te Huna  Igor Pokrajac,0  2,22  25,5  2,1  0,Light Heavyweight,KO/TKO  Punches,3,3:26,UFC 110: Nogueira vs Velasquez
win,Randy Couture  Mark Coleman,0  0,44  10,1  0,1  0,Light Heavyweight,SUB  Rear Naked Choke,2,1:09,UFC 109: Relentless
win,Chael Sonnen  Nate Marquardt,0  0,39  11,6  0,0  2,Middleweight,U-DEC,3,5:00,UFC 109: Relentless
win,Paulo Thiago  Mike Swick,1  0,9  7,0  1,1  0,Welterweight,SUB  D'Arce Choke,2,1:54,UFC 109: Relentless
win,Demian Maia  Dan Miller,0  0,30  20,4  0,0  0,Middleweight,U-DEC,3,5:00,UFC 109: Relentless
win,Matt Serra  Frank Trigg,1  0,12  6,0  0,0  0,Welterweight,KO/TKO  Punch,1,2:23,UFC 109: Relentless
win,Mac Danzig  Justin Buchholz,0  0,62  30,3  0,0  1,Lightweight,U-DEC,3,5:00,UFC 109: Relentless
win,Melvin Guillard  Ronys Torres,0  0,34  6,0  5,0  1,Lightweight,U-DEC,3,5:00,UFC 109: Relentless
win,Rob Emerson  Phillipe Nover,0  0,26  19,7  0,0  2,Lightweight,U-DEC,3,5:00,UFC 109: Relentless
win,Phil Davis  Brian Stann,0  0,48  5,3  0,1  0,Light Heavyweight,U-DEC,3,5:00,UFC 109: Relentless
win,Chris Tuchscherer  Tim Hague,0  0,24  34,1  1,1  1,Heavyweight,M-DEC,3,5:00,UFC 109: Relentless
win,Joey Beltran  Rolles Gracie,0  0,22  15,0  1,0  0,Heavyweight,KO/TKO  Punches,2,1:31,UFC 109: Relentless
win,Gray Maynard  Nate Diaz,0  0,41  70,0  0,0  0,Lightweight,S-DEC,3,5:00,UFC Fight Night: Maynard vs Diaz
win,Evan Dunham  Efrain Escudero,0  1,22  26,3  0,1  2,Lightweight,SUB  Armbar,3,1:59,UFC Fight Night: Maynard vs Diaz
win,Aaron Simpson  Tom Lawlor,0  0,36  52,2  1,0  2,Middleweight,S-DEC,3,5:00,UFC Fight Night: Maynard vs Diaz
win,Amir Sadollah  Brad Blackburn,0  0,87  37,2  0,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Maynard vs Diaz
win,Chris Leben  Jay Silva,0  0,60  15,2  0,2  0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Maynard vs Diaz
win,Rick Story  Jesse Lennox,0  0,47  22,2  1,1  1,Welterweight,S-DEC,3,5:00,UFC Fight Night: Maynard vs Diaz
draw draw,Thiago Tavares  Nik Lentz,0  0,55  71,1  4,1  1,Lightweight,M-DEC,3,5:00,UFC Fight Night: Maynard vs Diaz
win,Rory MacDonald  Mike Guymon,0  0,8  6,2  0,2  0,Welterweight,SUB  Armbar,1,4:27,UFC Fight Night: Maynard vs Diaz
win,Rafael Dos Anjos  Kyle Bradley,0  0,42  21,5  0,2  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Maynard vs Diaz
win,Gerald Harris  John Salter,0  0,21  7,1  1,0  0,Middleweight,KO/TKO  Punches,3,3:24,UFC Fight Night: Maynard vs Diaz
win,Nick Catone  Jesse Forbes,0  0,32  32,2  0,0  0,Middleweight,S-DEC,3,5:00,UFC Fight Night: Maynard vs Diaz
win,Rashad Evans  Thiago Silva,0  0,12  31,8  0,0  0,Light Heavyweight,U-DEC,3,5:00,UFC 108: Evans vs Silva
win,Paul Daley  Dustin Hazelett,1  0,8  4,0  0,0  0,Welterweight,KO/TKO  Punch,1,2:24,UFC 108: Evans vs Silva
win,Sam Stout  Joe Lauzon,0  0,94  26,0  4,0  2,Lightweight,U-DEC,3,5:00,UFC 108: Evans vs Silva
win,Jim Miller  Duane Ludwig,1  0,6  2,0  0,1  0,Lightweight,SUB  Armbar,1,2:31,UFC 108: Evans vs Silva
win,Junior Dos Santos  Gilbert Yvel,1  0,14  3,0  0,0  0,Heavyweight,KO/TKO  Punch,1,2:07,UFC 108: Evans vs Silva
win,Martin Kampmann  Jacob Volkmann,1  0,14  13,0  0,1  0,Welterweight,SUB  Guillotine Choke,1,4:03,UFC 108: Evans vs Silva
win,Cole Miller  Dan Lauzon,0  1,15  10,0  1,1  0,Lightweight,SUB  Inverted Triangle,1,3:05,UFC 108: Evans vs Silva
win,Mark Munoz  Ryan Jensen,0  0,16  9,1  0,0  1,Middleweight,KO/TKO  Punches,1,2:30,UFC 108: Evans vs Silva
win,Jake Ellenberger  Mike Pyle,1  0,15  5,2  0,0  1,Welterweight,KO/TKO  Punch,2,0:22,UFC 108: Evans vs Silva
win,Rafaello Oliveira  John Gunderson,0  0,21  1,6  1,4  4,Lightweight,U-DEC,3,5:00,UFC 108: Evans vs Silva
win,BJ Penn  Diego Sanchez,0  0,70  8,0  0,0  0,Lightweight,KO/TKO,5,2:37,UFC 107: Penn vs Sanchez
win,Frank Mir  Cheick Kongo,1  0,2  0,0  0,1  0,Heavyweight,SUB  Guillotine Choke,1,1:12,UFC 107: Penn vs Sanchez
win,Jon Fitch  Mike Pierce,0  0,55  54,4  1,0  0,Welterweight,U-DEC,3,5:00,UFC 107: Penn vs Sanchez
win,Kenny Florian  Clay Guida,1  0,22  13,1  0,1  0,Lightweight,SUB  Rear Naked Choke,2,2:19,UFC 107: Penn vs Sanchez
win,Stefan Struve  Paul Buentello,0  1,54  37,1  0,2  0,Heavyweight,M-DEC,3,5:00,UFC 107: Penn vs Sanchez
win,Alan Belcher  Wilson Gouveia,1  0,21  29,0  0,0  0,Catch Weight,KO/TKO  Punches,1,3:03,UFC 107: Penn vs Sanchez
win,Matt Wiman  Shane Nelson,0  0,55  20,2  1,0  3,Lightweight,U-DEC,3,5:00,UFC 107: Penn vs Sanchez
win,Johny Hendricks  Ricardo Funch,0  0,49  16,7  1,4  0,Welterweight,U-DEC,3,5:00,UFC 107: Penn vs Sanchez
win,Rousimar Palhares  Lucio Linhares,0  0,6  8,1  2,3  2,Middleweight,SUB  Heel Hook,2,3:21,UFC 107: Penn vs Sanchez
win,DaMarques Johnson  Edgar Garcia,0  0,10  17,0  1,1  1,Welterweight,SUB  Triangle Choke,1,4:03,UFC 107: Penn vs Sanchez
win,TJ Grant  Kevin Burns,1  1,28  14,1  0,0  0,Welterweight,KO/TKO  Punch,1,4:57,UFC 107: Penn vs Sanchez
