,First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,weight_class
572,Randall,Wallace,Braveheart,71,185.0,73,Orthodox,15.0,6.0,0.0,light heavyweight
573,James,Wallace,Jesse,70,155.0,69,Orthodox,5.0,2.0,0.0,welterweight
574,Jim,Wallhead,Judo,70,170.0,71,Orthodox,29.0,11.0,0.0,middleweight
575,Cory,Walmsley,Hardcore,72,205.0,71,Orthodox,8.0,2.0,0.0,heavyweight
576,Richard,Walsh,Filthy Rich,72,170.0,73,Orthodox,9.0,5.0,0.0,middleweight
577,Patrick,Walsh,The Beast of the East,71,185.0,71,Unknown,10.0,3.0,0.0,light heavyweight
578,Erick,Wanderlei,,73,205.0,71,Orthodox,3.0,3.0,0.0,heavyweight
579,Dimitiri,Wanderley,,70,205.0,71,Orthodox,5.0,2.0,0.0,heavyweight
580,Andy,Wang,,66,155.0,71,Orthodox,7.0,8.0,1.0,welterweight
581,Sai,Wang,The Fire Kylin,72,170.0,71,Southpaw,20.0,6.0,1.0,middleweight
582,Anying,Wang,,72,170.0,71,Orthodox,2.0,1.0,0.0,middleweight
584,Rubens,Xavier,Macula,75,220.0,71,Orthodox,5.0,3.0,0.0,heavyweight
585,Xiao,Long,,68,135.0,66,Orthodox,24.0,7.0,0.0,featherweight
586,Xie,Bin,The Stalker,70,145.0,71,Orthodox,8.0,4.0,0.0,lightweight
588,Jamie,Yager,The Chosyn 1,73,185.0,71,Orthodox,8.0,4.0,0.0,light heavyweight
589,Eddie,Yagin,The Filipino Phenom,67,145.0,71,Orthodox,16.0,7.0,1.0,lightweight
590,Rani,Yahya,,66,135.0,67,Orthodox,28.0,10.0,1.0,featherweight
591,Alexander,Yakovlev,Russian Thunder,75,155.0,74,Southpaw,24.0,10.0,1.0,welterweight
592,Keiichiro,Yamamiya,,71,185.0,71,Southpaw,45.0,35.0,10.0,light heavyweight
593,Kenichi,Yamamoto,,72,170.0,71,Orthodox,5.0,12.0,2.0,middleweight
594,Yoshihisa,Yamamoto,,74,220.0,71,Southpaw,14.0,25.0,1.0,heavyweight
595,Atsushi,Yamamoto,,66,139.0,71,Orthodox,19.0,11.0,3.0,featherweight
